Complaint_No,Weapon_Type
20150111224302,"Personal Weapons (hands,feet,teeth,etc.)"
20150111224700,"Personal Weapons (hands,feet,teeth,etc.)"
20150111225201,"Personal Weapons (hands,feet,teeth,etc.)"
20150111230102,"Personal Weapons (hands,feet,teeth,etc.)"
20150112002901,"Personal Weapons (hands,feet,teeth,etc.)"
20150112004701,"Personal Weapons (hands,feet,teeth,etc.)"
20150112010800,"Personal Weapons (hands,feet,teeth,etc.)"
20150112015900,"Personal Weapons (hands,feet,teeth,etc.)"
20150112021902,Handgun                                 
20150112023200,"Personal Weapons (hands,feet,teeth,etc.)"
20150112080201,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20150112095500,"Personal Weapons (hands,feet,teeth,etc.)"
20150112102903,"Personal Weapons (hands,feet,teeth,etc.)"
20150112105002,"Personal Weapons (hands,feet,teeth,etc.)"
20150112105501,"Personal Weapons (hands,feet,teeth,etc.)"
20150112110302,"Personal Weapons (hands,feet,teeth,etc.)"
20150112111600,"Personal Weapons (hands,feet,teeth,etc.)"
20150112111902,"Personal Weapons (hands,feet,teeth,etc.)"
20150112121004,Handgun                                 
20150112121004,"Blunt Object(club,hammer,etc)           "
20150112122300,"Personal Weapons (hands,feet,teeth,etc.)"
20150112132601,"Personal Weapons (hands,feet,teeth,etc.)"
20150112135303,"Personal Weapons (hands,feet,teeth,etc.)"
20150112145001,"Personal Weapons (hands,feet,teeth,etc.)"
20150112150402,"Personal Weapons (hands,feet,teeth,etc.)"
20150112151001,"Personal Weapons (hands,feet,teeth,etc.)"
20150112154201,Razor                                   
20150112161506,Other Weapon                            
20150112163804,"Personal Weapons (hands,feet,teeth,etc.)"
20150112170602,"Personal Weapons (hands,feet,teeth,etc.)"
20150112170901,"Personal Weapons (hands,feet,teeth,etc.)"
20150112171000,"Personal Weapons (hands,feet,teeth,etc.)"
20150112172203,Undetermined Firearm                    
20150112173901,Handgun                                 
20150112173901,"Personal Weapons (hands,feet,teeth,etc.)"
20150112180100,Not Applicable/None                     
20150112182600,"Personal Weapons (hands,feet,teeth,etc.)"
20150112183701,Handgun                                 
20150112184203,"Personal Weapons (hands,feet,teeth,etc.)"
20150112192000,Not Applicable/None                     
20150112201402,"Personal Weapons (hands,feet,teeth,etc.)"
20150112203601,"Personal Weapons (hands,feet,teeth,etc.)"
20150112214707,Knife                                   
20150112222400,Handgun                                 
20150112230703,"Personal Weapons (hands,feet,teeth,etc.)"
20150112233301,"Personal Weapons (hands,feet,teeth,etc.)"
20150112235401,Undetermined Firearm                    
20150113002800,"Personal Weapons (hands,feet,teeth,etc.)"
20150113003600,Undetermined Firearm                    
20150113010802,Handgun                                 
20150113011201,"Blunt Object(club,hammer,etc)           "
20150113025301,Not Applicable/None                     
20150113050201,"Personal Weapons (hands,feet,teeth,etc.)"
20150113051901,"Personal Weapons (hands,feet,teeth,etc.)"
20150113063800,Other Weapon                            
20150113072600,"Personal Weapons (hands,feet,teeth,etc.)"
20150113084400,"Personal Weapons (hands,feet,teeth,etc.)"
20150113091502,"Personal Weapons (hands,feet,teeth,etc.)"
20150113095607,"Personal Weapons (hands,feet,teeth,etc.)"
20150113104503,"Personal Weapons (hands,feet,teeth,etc.)"
20150113111001,"Personal Weapons (hands,feet,teeth,etc.)"
20150113113801,Handgun                                 
20150113123200,Unknown/Not Stated                      
20150113135008,"Personal Weapons (hands,feet,teeth,etc.)"
20150113143302,"Personal Weapons (hands,feet,teeth,etc.)"
20150113150903,"Personal Weapons (hands,feet,teeth,etc.)"
20150113153304,"Personal Weapons (hands,feet,teeth,etc.)"
20150113154307,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20150113162203,Not Applicable/None                     
20150113163905,Handgun                                 
20150113164900,"Personal Weapons (hands,feet,teeth,etc.)"
20150113165302,"Personal Weapons (hands,feet,teeth,etc.)"
20150113165302,Vehicle                                 
20150113170902,"Personal Weapons (hands,feet,teeth,etc.)"
20150113174002,"Personal Weapons (hands,feet,teeth,etc.)"
20150113174100,Knife                                   
20150113175600,"Personal Weapons (hands,feet,teeth,etc.)"
20150113175600,Other Weapon                            
20150113194407,Shotgun                                 
20150113201300,"Personal Weapons (hands,feet,teeth,etc.)"
20150113202304,Other Weapon                            
20150113203401,"Personal Weapons (hands,feet,teeth,etc.)"
20150113212901,Not Applicable/None                     
20150113215406,Handgun                                 
20150113221500,"Personal Weapons (hands,feet,teeth,etc.)"
20150113230800,Handgun                                 
20150113230902,"Personal Weapons (hands,feet,teeth,etc.)"
20150113231703,"Personal Weapons (hands,feet,teeth,etc.)"
20150113232400,Handgun                                 
20150113234800,Handgun                                 
20150113235401,Handgun                                 
20150114000000,"Personal Weapons (hands,feet,teeth,etc.)"
20150114000500,Handgun                                 
20150114003001,Handgun                                 
20150114004502,Shotgun                                 
20150114005401,Handgun                                 
20150114022302,"Personal Weapons (hands,feet,teeth,etc.)"
20150114023603,Handgun                                 
20150114030702,"Personal Weapons (hands,feet,teeth,etc.)"
20150114075506,"Personal Weapons (hands,feet,teeth,etc.)"
20150114081800,Shotgun                                 
20150114085905,"Personal Weapons (hands,feet,teeth,etc.)"
20150114100601,Not Applicable/None                     
20150114104400,"Personal Weapons (hands,feet,teeth,etc.)"
20150114105400,"Personal Weapons (hands,feet,teeth,etc.)"
20150114111900,"Personal Weapons (hands,feet,teeth,etc.)"
20150114112800,"Personal Weapons (hands,feet,teeth,etc.)"
20150114113201,"Personal Weapons (hands,feet,teeth,etc.)"
20150114113300,"Personal Weapons (hands,feet,teeth,etc.)"
20150114120201,"Personal Weapons (hands,feet,teeth,etc.)"
20150114122800,"Personal Weapons (hands,feet,teeth,etc.)"
20150114130404,"Personal Weapons (hands,feet,teeth,etc.)"
20150114135601,Other Firearm                           
20150114150104,Knife                                   
20150114151002,Handgun                                 
20150114153503,Not Applicable/None                     
20150114154802,Not Applicable/None                     
20150114155903,"Personal Weapons (hands,feet,teeth,etc.)"
20150114161100,"Personal Weapons (hands,feet,teeth,etc.)"
20150114161100,Handgun                                 
20150114162800,"Personal Weapons (hands,feet,teeth,etc.)"
